27169,BAILARINA ALUM.30CM CAPARROZ BRANCA 1UN,66,0
27180,BAILARINA ALUM.30CM CAPARROZ PRETA 1UN,66,0
27171,BAILARINA ALUM.30CM CAPARROZ VERDE 1UN,66,0
27168,BAILARINA ALUM.30CM CAPARROZ VERMELHA1UN,66,0
27183,BAILARINA ALUM.30CM CAPARROZ VIOLETA 1UN,66,0
27201,BAILARINA ALUM.30CM FUNDIDO CAPARROZ 1UN,202.4,0
27165,CORTADOR LETRAS S MD.INOX CAPARROZ 1UN,3.21,0
27166,CORT.TABUA COZINHA INOX 6X3 CAPARROZ 1UN,3.97,0
24293,ESPAT.C/DOBRA AMARELA 20CM CAPARROZ 1UN,10.85,11.052355
24295,ESPAT.C/DOBRA AZUL 20CM CAPARROZ 1UN,10.85,11.121938
24296,ESPAT.C/DOBRA AZUL 25CM CAPARROZ 1UN,12.53,12.517293
24297,ESPAT.C/DOBRA VERMELHA 20CM CAPARROZ 1UN,10.85,11.052355
24298,ESPAT.C/DOBRA VERMELHA 25CM CAPARROZ 1UN,12.53,12.517293
24344,ESPAT.P/BOLO LISA PONTA RED.CAPARROZ 1UN,11.67,11.68134
24306,ESPAT.PLAST.RASP.AJUSTAVEL CAPARROZ 2UN,15.93,16.231045
24336,ESPATULA C/DOBRA INOX 25CM CAPARROZ 1UN,12.53,12.756166
24301,ESPATULA LISA AZUL 20CM CAPARROZ 1UN,8.34,8.734188
24302,ESPATULA LISA AZUL 25CM CAPARROZ 1UN,10.85,10.845387
24303,ESPATULA LISA VERMELHA 20CM CAPARROZ 1UN,8.34,8.550131
24342,ESPATULA P/BOLO LISA P 30CM CAPARROZ 1UN,12.53,12.517293
24305,ESPATULA PLAST.P/CHOCOLATE CAPARROZ 1UN,2.11,2.212354
24316,F.BALLERINE 6.3X7.7X2.5CM CAPARROZ 12UN,19.47,19.4689
24307,FORMA BALLERINE 26X22X8.5CM CAPARROZ 1UN,10.55,10.749704
25160,FORMA BOLO VULCAO P 13X6CM CAPARROZ 1UN,9.72,8.339708
24313,FORMA BOLO VULCAO 21X9CM CAPARROZ 1UN,36.69,37.382966
24357,FORMA CANUDO FOLHADO N1 CAPARROZ 12UN,6.37,6.36864
24358,FORMA CANUDO FOLHADO N2 CAPARROZ 12UN,8.23,8.227535
27189,FORMA CORACAO ALUM.17X16X2 CAPARROZ 1UN,5.67,0
24360,FORMA CORACAO BALAO CAPARROZ 12UN,15.02,15.014151
24314,FORMA ESPIRAL VERM.23X10CM CAPARROZ 1UN,23.06,23.494662
24350,FORMA ESPIRAL 23X10CM CAPARROZ 1UN,21.3,22.307899
